"Porciones",7,,,
"Gramaje",1108.25,,,
"Clasificacion",0,3,2,
"Cantidad","Unidad","Gramos","Ingrediente","Instrucciones"
2,"lb",907,"espinaca","Llavar las espinacas y ponerlas en una cacerola con tapa sobre fuego 5 min."
0.75,"cdita",12.75,"sal","Sazonar con sal y reducir el fuego, cocinar por 10 min adicionales."
0.25,"lb",113.5,"tocino","Cortar el tocino en cuadritos, freir el tocino hasta que quede dorado en un sartén por separado."
0.25,"taza",75,"cebolla","Agregar la cebolla picada junto con el tocino y mezclar todo con las espinacas."
